School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
ETH Zurich,Computer Science,Masters,"March 25, 2025",Accepted,3.95,,,,"top 1% at leading German CS degree
degree admission: March 19th, 2025 (""ESOP requested"" = final approval by the rector still needed)
esop decision date: March 25th, 2025"
ETHZ - ETH Zurich,Computer Science,Masters,"March 24, 2025",Accepted,,,,,"4.7/6 swiss gpa, got a bachelor from a swiss university"
ETH Zurich,Computer Science,Masters,"March 24, 2025",Rejected,,,,,from southern italy university. 28.8/30. 4 years of experience as software engineer. 1st of my class
ETH Zurich,Computer Science,Masters,"March 12, 2025",Accepted,3.89,,,,
ETH Zurich,Computer Science,Masters,"March 12, 2025",Accepted,3.92,,,,"from italian university, exchange program, some extracurriculars"
ETH Zurich,Electrical Engineering and Computer Science,Masters,"March 04, 2025",Rejected,,,,,"B.Sc. Electrical Engineering and IT, TUM, 2.5 German GPA, fire LORs."
ETH Zurich,Computer Science,Masters,"March 06, 2024",Accepted,4.00,,,,"Top 0.5% of graduating class, 250-300 QS CS Greek university, no GRE, moderate to strong LoRs"
ETH Zurich,Computer Science,Masters,"March 06, 2024",Rejected,,,,,
ETH Zurich,Computer Science,Masters,"March 06, 2024",Rejected,3.00,,,,"2 years of experience as SWE, top 3 german university, one good and one very strong LoRec (did his PhD at ETH), sadly sucky GPA because I cared more about partying than grades during undergrad"
ETH Zurich,Computer Science,Masters,"March 06, 2024",Rejected,3.30,,,,
,,,,,,,,,
ETH Zurich,Computer Science,Masters,"March 05, 2024",Rejected,3.60,,,,"Applied to DD, rejected for both, DD and MSc."
ETH Zurich,Computer Science,Masters,"March 29, 2023",Accepted,3.90,149,,3.00,"I just want to say, don't listen to the admission office. He's there to discourage you. I called the CS admission office asking about the paper works and he said ""our admission process is very selective, your chance of getting in is very low"" He kept saying that 3-4 times, even though I didn't ask him about my chance. I have a low GRE score, but my grade is very high (almost the top 5% of my class) and my work experience is related to their research. The professor that wrote me a letter of rec has some close contact with ETH professors too. Maybe that helped me get in. I'm from the US btw."
ETH Zurich,Computer Science,Masters,"March 29, 2023",Accepted,4.00,162,,5.00,"Among best french engineering schools for CS (top 1-5). Top 10% with GPA rankings. 1 very very strong LoR, 1 classic LoR. I think very strong SoP. No research internship, although nobody in France has one at this stage. Some research projects."
ETH Zurich,Computer Science,Masters,"March 28, 2023",Accepted,3.80,,,,"avg German uni, top 5%"
ETH Zurich,Computer Science,Masters,"March 27, 2023",Accepted,,157,,3.00,
ETH Zurich,Computer Science,Masters,"March 10, 2023",Rejected,3.60,,,,"9/10 average in MSc Bioinformatics from a good Dutch university, relevant internship. Bit of a surprise"
ETH Zurich,Computer Science,Masters,"March 10, 2023",Rejected,3.50,157,,4.50,"A bit shocking, had good LoRs and relevant work experience from EPFL."
ETH Zurich,Computer Science,Masters,"March 02, 2022",Accepted,,157,,3.00,"Currently working in India. Did a research intern from USC. 1 first author ICLR, 1 ACL and 1 CVPR oral. UG at IIT Delhi with a GPA of 9.69/10 (class topper). Got an email to check portal at around 7pm IST. Had an interview for ESOP last Thursday but not heard anything about ESOP acceptance."
ETH Zurich,Computer Science,Masters,"March 02, 2022",Accepted,3.99,152,,4.00,"Rejected for the direct doctorate, but accepted for MSc. (My direct doctorate application automatically changed to MSc application a few days ago) From one of the best universities in S. Korea. With an almost perfect GPA (4.21/4.30), and a minimum TOEFL score required(100/120). Several research experiences add up to 2 years. A submitted paper to a top conference as a second author (finally rejected yesterday). Good teaching experience, good SoP, and good LoRs."
