School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"June 17, 2021",Accepted,3.82,,,,double major (in math) from a good university in turkey. 2 years of undergraduate research experience and one second author preprint
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"June 17, 2021",Rejected,,,,,University of Lisbon. Bachelor's in Computer Science (IST). Final grade of bachelors: 17/20. Exchange student at EPFL for 1 year with average 5/6 in the Spring semester. No research experience. One year work experience (not in a big company). I also worked with an EPFL lab during the exchange.
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"June 10, 2021",Accepted,3.96,162,,4.00,"From Politecnico di Milano, no work experience/research"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"May 31, 2013",Accepted,,,,,From Vietnam.
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"May 30, 2013",Accepted,,,,,from Iran
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"May 30, 2013",Rejected,,,,,"Undergrad GPA ~3.3, ~100 Toefl IBT score, internship at top company. I guess GPA has the biggest weight."
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"May 30, 2013",Accepted,3.80,,,,"1st class honours from a top UK university, ~ 3.8/4.0 GPA"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"March 05, 2013",Rejected,,,,,"low gpa, low gre scoreâ€¦â€¦â€¦â€¦didnt have much hope at the very first time , so"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"March 04, 2013",Rejected,,,,,"All hopes with Europe shattered. 8.25 GPA, new IIT BTech CSE, 2 conference publs in IEEE and ACM, recos from renowned but new Asst Profs. gre 317"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"March 04, 2013",Rejected,,154,,3.50,"2 Conference papers + 1 paper on review + 3 patents, topper of the class, I expressed my interest in particular for research scholar masters. I guess over qualification must have been the reason for reject!"
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"March 04, 2013",Rejected,,,,,
